name,link,rank,draft_year,draft_rd,draft_pk,college,recruit_year,bbrID,pick_overall,pick_number,pick_round,nba_median_vorp_rank,nba_mean_vorp_rank,nba_median_pipm_rank,nba_mean_pipm_rank,valid_seasons
Carlos Boozer,/players/b/boozeca01.html,8,2002,2,35,Duke University,1999,boozeca01,34,35,2,65,78.27272727272727,74,93.63636363636364,11
Jason Kapono,/players/k/kaponja01.html,10,2003,2,31,"University of California, Los Angeles",1999,kaponja01,31,31,2,159,155,167,159,3
Damien Wilkins,/players/w/wilkida02.html,11,,,,University of Georgia,1999,wilkida02,,,,147.5,142.25,172,167.75,4
Leon Smith,/players/s/smithle01.html,12,1999,1,29,,1999,smithle01,29,29,1,,,,,0
Kenny Satterfield,/players/s/satteke01.html,13,2001,2,54,University of Cincinnati,1999,satteke01,53,54,2,,,,,0
Jason Richardson,/players/r/richaja01.html,14,2001,1,5,Michigan State University,1999,richaja01,5,5,1,62,60.18181818181818,86,84.27272727272727,11
Jason Parker,https://www.sports-reference.com/cbb/players/jason-parker-1.html,15,,,,University of Kentucky,1999,,,,,,,,,
Casey Sanders,https://www.sports-reference.com/cbb/players/casey-sanders-1.html,16,,,,Duke University,1999,,,,,,,,,
DerMarr Johnson,/players/j/johnsde03.html,17,2000,1,6,University of Cincinnati,1999,johnsde03,6,6,1,124,124,99,99,1
Jason Gardner,https://www.sports-reference.com/cbb/players/jason-gardner-1.html,18,,,,University of Arizona,1999,,,,,,,,,
Casey Jacobsen,/players/j/jacobca01.html,18,2002,1,22,Stanford University,1999,jacobca01,22,22,1,141,141,146.5,146.5,2
Brian Cook,/players/c/cookbr01.html,20,2003,1,24,University of Illinois at Urbana-Champaign,1999,cookbr01,24,24,1,135,135,81,81,1
Drew Gooden,/players/g/goodedr01.html,21,2002,1,4,University of Kansas,1999,goodedr01,4,4,1,137.5,130.5,153.5,135.625,8
Nick Collison,/players/c/collini01.html,22,2003,1,12,University of Kansas,1999,collini01,12,12,1,95,95.14285714285714,95,86.42857142857143,7
Majestic Mapp,https://www.sports-reference.com/cbb/players/majestic-mapp-1.html,23,,,,University of Virginia,1999,,,,,,,,,
Kevin Gaines,https://www.sports-reference.com/cbb/players/kevin-gaines-1.html,24,,,,University of Houston,1999,,,,,,,,,
Joe Johnson,/players/j/johnsjo02.html,25,2001,1,10,University of Arkansas,1999,johnsjo02,10,10,1,79,76.1875,101,87.5625,16
Mike Dunleavy,/players/d/dunlemi02.html,26,2002,1,3,Duke University,1999,dunlemi02,3,3,1,87.5,81.3,80.5,75.1,10
Rod Grizzard,https://www.sports-reference.com/cbb/players/rod-grizzard-1.html,27,,,,University of Alabama,1999,,,,,,,,,
Travis Watson,https://www.sports-reference.com/cbb/players/travis-watson-1.html,28,,,,University of Virginia,1999,,,,,,,,,
Samuel Dalembert,/players/d/dalemsa01.html,29,2001,1,26,Seton Hall University,1999,dalemsa01,26,26,1,116,121.5,74,74.9,10
George Williams,https://www.sports-reference.com/cbb/players/george-williams-1.html,30,,,,University of Houston,1999,,,,,,,,,
Donnell Knight,https://www.sports-reference.com/cbb/players/donnell-knight-1.html,30,,,,Arizona State University,1999,,,,,,,,,
Tony Robertson,https://www.sports-reference.com/cbb/players/tony-robertson-1.html,32,,,,University of Connecticut,1999,,,,,,,,,
Marshall Williams,https://www.sports-reference.com/cbb/players/marshall-williams-1.html,33,,,,North Carolina State University,1999,,,,,,,,,
Kareem Rush,/players/r/rushka01.html,34,2002,1,20,University of Missouri,1999,rushka01,20,20,1,175,175,162,162,1
Chuck Eidson,https://www.sports-reference.com/cbb/players/chuck-eidson-1.html,35,,,,University of South Carolina,1999,,,,,,,,,
Steven Hunter,/players/h/huntest01.html,36,2001,1,15,DePaul University,1999,huntest01,15,15,1,153,153,186,186,1
Roger Mason,/players/m/masonro01.html,37,2002,2,31,University of Virginia,1999,masonro01,30,31,2,133,133.33333333333334,161,136,3
Matt Bonner,/players/b/bonnema01.html,38,2003,2,45,University of Florida,1999,bonnema01,45,45,2,87.5,87,66.5,73.25,4
Reece Gaines,/players/g/gainere01.html,39,2003,1,15,University of Louisville,1999,gainere01,15,15,1,,,,,0
Matt Carroll,/players/c/carroma01.html,40,,,,University of Notre Dame,1999,carroma01,,,,139.5,139.5,123.5,123.5,2
Todd Billet,https://www.sports-reference.com/cbb/players/todd-billet-2.html,41,,,,Rutgers University,1999,,,,,,,,,
Tito Maddox,/players/m/maddoti01.html,42,2002,2,38,"California State University, Fresno",1999,maddoti01,37,38,2,,,,,0
Derrick Payne,,43,1998,,,,1999,,50,50,2,,,,,
Antonio Falu,https://www.sports-reference.com/cbb/players/antonio-falu-1.html,44,,,,Valparaiso University,1999,,,,,,,,,
Marcus Cox,https://www.sports-reference.com/cbb/players/marcus-cox-1.html,45,,,,University of Connecticut,1999,,,,,,,,,
Jamal Crawford,/players/c/crawfja01.html,46,2000,1,8,University of Michigan,1999,crawfja01,8,8,1,127.5,122.625,140.5,137.25,16
DeShaun Williams,https://www.sports-reference.com/cbb/players/deshaun-williams-1.html,46,,,,Iona College,1999,,,,,,,,,
Brent Darby,https://www.sports-reference.com/cbb/players/brent-darby-1.html,48,,,,Ohio State University,1999,,,,,,,,,
Mike Bauer,https://www.sports-reference.com/cbb/players/mike-bauer-1.html,49,,,,University of Minnesota,1999,,,,,,,,,
Brian Wethers,https://www.sports-reference.com/cbb/players/brian-wethers-1.html,50,,,,University of California,1999,,,,,,,,,
Ron Slay,https://www.sports-reference.com/cbb/players/ron-slay-1.html,51,,,,University of Tennessee,1999,,,,,,,,,
Kenny Walker,https://www.sports-reference.com/cbb/players/kenny-walker-2.html,52,,,,University of Alabama,1999,,,,,,,,,
Hollis Price,https://www.sports-reference.com/cbb/players/hollis-price-1.html,53,,,,University of Oklahoma,1999,,,,,,,,,
Josh Moore,https://www.sports-reference.com/cbb/players/josh-moore-1.html,54,,,,University of Michigan,1999,,,,,,,,,
Steve Blake,/players/b/blakest01.html,55,2003,2,38,University of Maryland,1999,blakest01,38,38,2,157,147.375,138.5,123.375,8
Andrew Sullivan,https://www.sports-reference.com/cbb/players/andrew-sullivan-1.html,56,,,,Villanova University,1999,,,,,,,,,
Tony Bobbitt,/players/b/bobbito01.html,57,,,,University of Cincinnati,1999,bobbito01,,,,,,,,0
Bernard King,https://www.sports-reference.com/cbb/players/bernard-king-2.html,57,,,,Texas A&M University,1999,,,,,,,,,
Jamison Brewer,/players/b/breweja01.html,59,2001,2,41,Auburn University,1999,breweja01,40,41,2,,,,,0
Ezra Williams,https://www.sports-reference.com/cbb/players/ezra-williams-1.html,60,,,,University of Georgia,1999,,,,,,,,,
Caron Butler,/players/b/butleca01.html,60,2002,1,10,University of Connecticut,1999,butleca01,10,10,1,90,92.81818181818181,118,101.81818181818181,11
Kirk Hinrich,/players/h/hinriki01.html,62,2003,1,7,University of Kansas,1999,hinriki01,7,7,1,125,105.72727272727273,87,101.63636363636364,11
Curtis Borchardt,/players/b/borchcu01.html,63,2002,1,18,Stanford University,1999,borchcu01,18,18,1,,,,,0
Stephane Pelle,https://www.sports-reference.com/cbb/players/stephane-pelle-1.html,64,,,,University of Colorado,1999,,,,,,,,,
Brian Woodward,https://www.sports-reference.com/cbb/players/brian-woodward-1.html,65,,,,University of Rhode Island,1999,,,,,,,,,
Erwin Dudley,https://www.sports-reference.com/cbb/players/erwin-dudley-1.html,66,,,,University of Alabama,1999,,,,,,,,,
Doug Wrenn,https://www.sports-reference.com/cbb/players/doug-wrenn-1.html,67,,,,University of Washington,1999,,,,,,,,,
Aloysius Anagonye,https://www.sports-reference.com/cbb/players/aloysius-anagonye-1.html,68,,,,Michigan State University,1999,,,,,,,,,
Ronald Dupree,/players/d/duprero01.html,69,,,,Louisiana State University,1999,duprero01,,,,,,,,0
Ronald Blackshear,https://www.sports-reference.com/cbb/players/ronald-blackshear-1.html,70,,,,Marshall University,1999,,,,,,,,,
Brian Jackson,https://www.sports-reference.com/cbb/players/brian-jackson-2.html,71,,,,Oregon State University,1999,,,,,,,,,
George Leach,https://www.sports-reference.com/cbb/players/george-leach-1.html,72,,,,Indiana University,1999,,,,,,,,,
Justin Davis,https://www.sports-reference.com/cbb/players/justin-davis-2.html,73,,,,Stanford University,1999,,,,,,,,,
Courtland Freeman,https://www.sports-reference.com/cbb/players/courtland-freeman-1.html,74,,,,Georgetown University,1999,,,,,,,,,
Tahj Holden,https://www.sports-reference.com/cbb/players/tahj-holden-1.html,75,,,,University of Maryland,1999,,,,,,,,,
Ricky Wright,https://www.sports-reference.com/cbb/players/ricky-wright-1.html,75,,,,Villanova University,1999,,,,,,,,,
Rodney White,/players/w/whitero02.html,77,2001,1,9,University of North Carolina at Charlotte,1999,whitero02,9,9,1,163,163,163,163,1
Jon Oden,https://www.sports-reference.com/cbb/players/jon-oden-1.html,78,,,,DePaul University,1999,,,,,,,,,
Jamario Moon,/players/m/moonja01.html,79,,,,Meridian Community College,1999,moonja01,,,,55.5,55.5,40.5,40.5,2
Ray Henderson,https://www.sports-reference.com/cbb/players/ray-henderson-1.html,79,,,,Clemson University,1999,,,,,,,,,
Cliff Crawford,https://www.sports-reference.com/cbb/players/cliff-crawford-1.html,81,,,,North Carolina State University,1999,,,,,,,,,
Jon Higgins,https://www.sports-reference.com/cbb/players/jon-higgins-1.html,82,,,,University of Tennessee,1999,,,,,,,,,
Carlton Baker,,82,1998,,,,1999,,50,50,2,,,,,
Marquis Daniels,/players/d/daniema01.html,84,,,,Auburn University,1999,daniema01,,,,161,137.66666666666666,112,117.33333333333333,3
Shawnson Johnson,https://www.sports-reference.com/cbb/players/shawnson-johnson-1.html,85,,,,University of North Texas,1999,,,,,,,,,
Zach Johnson,https://www.sports-reference.com/cbb/players/zach-johnson-1.html,85,,,,Louisiana Tech University,1999,,,,,,,,,
John Stewart,,87,1998,,,,1999,,50,50,2,,,,,
Adam Wolfe,https://www.sports-reference.com/cbb/players/adam-wolfe-1.html,88,,,,Michigan State University,1999,,,,,,,,,
Nate Hair,https://www.sports-reference.com/cbb/players/nate-hair-1.html,89,,,,University of Southern California,1999,,,,,,,,,
Marque Perry,https://www.sports-reference.com/cbb/players/marque-perry-1.html,89,,,,Saint Louis University,1999,,,,,,,,,
Jarrett Hart,https://www.sports-reference.com/cbb/players/jarrett-hart-2.html,91,,,,University of Oklahoma,1999,,,,,,,,,
Julian Swartz,https://www.sports-reference.com/cbb/players/julian-swartz-1.html,92,,,,University of Wisconsin,1999,,,,,,,,,
Marquis Estill,https://www.sports-reference.com/cbb/players/marquis-estill-1.html,92,,,,University of Kentucky,1999,,,,,,,,,
Rafael Berumen,https://www.sports-reference.com/cbb/players/rafael-berumen-1.html,94,,,,University of Miami,1999,,,,,,,,,
Chris Monroe,https://www.sports-reference.com/cbb/players/chris-monroe-1.html,95,,,,George Washington University,1999,,,,,,,,,
Derrick Zimmerman,/players/z/zimmede01.html,96,2003,2,40,Mississippi State University,1999,zimmede01,40,40,2,,,,,0
Wesley Wilson,https://www.sports-reference.com/cbb/players/wesley-wilson-1.html,97,,,,Georgetown University,1999,,,,,,,,,
Demetrius Hunter,https://www.sports-reference.com/cbb/players/demetrius-hunter-1.html,98,,,,Georgetown University,1999,,,,,,,,,
Greg Morton,https://www.sports-reference.com/cbb/players/greg-morton-1.html,99,,,,Seton Hall University,1999,,,,,,,,,
Gilbert Arenas,/players/a/arenagi01.html,99,2001,2,31,University of Arizona,1999,arenagi01,30,31,2,17.5,47.333333333333336,47,62.5,6
Zach Randolph,/players/r/randoza01.html,1,2001,1,19,Michigan State University,2000,randoza01,19,19,1,120,112.14285714285714,98.5,102.35714285714286,14
Eddie Griffin,/players/g/griffed01.html,2,2001,1,7,Seton Hall University,2000,griffed01,7,7,1,116,116,71.5,71.5,2
Darius Miles,/players/m/milesda01.html,3,2000,1,3,,2000,milesda01,3,3,1,108,115,115,103.6,5
Gerald Wallace,/players/w/wallage01.html,4,2001,1,25,University of Alabama,2000,wallage01,25,25,1,37,34.888888888888886,43,53.666666666666664,9
Marcus Taylor,https://www.sports-reference.com/cbb/players/marcus-taylor-1.html,5,,,,Michigan State University,2000,,,,,,,,,
DeShawn Stevenson,/players/s/stevede01.html,6,2000,1,23,,2000,stevede01,23,23,1,156,145,153.5,138.75,4
Chris Duhon,/players/d/duhonch01.html,6,2004,2,38,Duke University,2000,duhonch01,38,38,2,127.5,131.16666666666666,113.5,117.66666666666667,6
Mario Austin,https://www.sports-reference.com/cbb/players/mario-austin-1.html,8,,,,Mississippi State University,2000,,,,,,,,,
Jared Jeffries,/players/j/jeffrja01.html,9,2002,1,11,Indiana University,2000,jeffrja01,11,11,1,114.5,119.25,126.5,124.75,4
Taliek Brown,https://www.sports-reference.com/cbb/players/taliek-brown-1.html,10,,,,University of Connecticut,2000,,,,,,,,,
Andre Brown,/players/b/brownan01.html,11,,,,DePaul University,2000,brownan01,,,,,,,,0
Omar Cook,/players/c/cookom01.html,11,2001,2,32,St. John's University,2000,cookom01,31,32,2,,,,,0
Jerome Harper,,13,1998,,,,2000,,50,50,2,,,,,
